,job_title,job_domain,published,deadline,education,skills
104,"Full Stack Developer (MSQL .Net Core, Angular)",Software Development,28 Dec 2024,15 Jan 2025,['Bachelor of Science (BSc) in Computer Science'],"['Angular', 'ASP.NET Core', 'ASP.NET MVC', 'ASP.NET WebAPI', 'C#', 'SQL Server']"
105,Senior Executive/Assistant Manager - Product Management,Project Management & Administration,28 Dec 2024,20 Jan 2025,[],"['communication skill', 'Leadership', 'Negotiation Skill', 'Networking Product', 'Problem solving and analytical skill', 'Security surveillance', 'Teamwork']"
106,"Executive/Senior Executive - PP, QM & PM (SAP)",Project Management & Administration,29 Dec 2024,16 Jan 2025,"['Bachelor of Business Studies (BBS), Bachelor of Science (BSc), Bachelor of Business Administration (BBA)', 'BBS/B.Sc in any discipline / BBA with a Minor in Information Systems or Similar']","['Good Organizational skills', 'Good reporting', 'Management Information System', 'MS Office', 'Multitasking ability']"
107,Junior Software Engineer / Software Engineer,Software Development,7 Jan 2025,17 Jan 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],[]
108,Executive (Communication),Digital Marketing,29 Dec 2024,28 Jan 2025,['Bachelor/Honors'],"['Communication', 'Computer Operating', 'Computer skill', 'MICROSOFT OFFICE']"
109,Google Ads Specialist,Digital Marketing,29 Dec 2024,13 Jan 2025,[],[]
110,Senior Officer - IT (Cloud Service Administration),IT & Networking,29 Dec 2024,28 Jan 2025,['Bachelor/Honors'],"['Cloud Service', 'Information teachnology']"
111,Trainee Engineer/ Engineer - Network Operation Centre,IT & Networking,30 Dec 2024,29 Jan 2025,"['Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Science (BSc) in Electronics and Telecommunication Engineering, Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Communication Engineering']",['Network Operation']
112,Senior BIM Specialist,Design,30 Dec 2024,29 Jan 2025,"['Bachelor/Honors', 'Bachelor of Science (BSc). Must']","['autodesk revit', 'BIM Modeling']"
113,Conselor Cum Telemarketing Officer,Digital Marketing,30 Dec 2024,29 Jan 2025,['Bachelor’s degree Any discipline'],"['Excellent communication skills in both Bengali and English', 'Excellent oral and written communications', 'Proficiency in Microsoft Office']"
114,Software Engineer,Software Development,30 Dec 2024,20 Jan 2025,[],"['ASP.NET Core', 'ASP.NET MVC', 'ES6+ syntax', 'Frontend Development (Web)', 'Git', 'JavaScript', 'Next Js', 'RESTful API', 'SQL Server', 'UI/UX strategies']"
115,Digital Marketing Specialist,Digital Marketing,30 Dec 2024,29 Jan 2025,[],"['Content Design', 'Content Marketing', 'Digital Marketing (Social Media Marketing)', 'SEO and Digital Marketing']"
116,Software Engineer (.net),Software Development,30 Dec 2024,29 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['ASP.NET Core', 'DotNet', 'ERP Softwear']"
117,Network and Cyber Security Engineer,IT & Networking,30 Dec 2024,20 Jan 2025,"['Bachelor of Computer Application (BCA) in Computer Science & Engineering, Masters in Computer Application (MCA) in Computer Science & Engineering']","['Antivirus and Firewalls', 'Computer Engineering', 'Cyber Security Management', 'firewall administration', 'IT Support Service and Network engineering.', 'Telecommunication Engineer']"
118,Business Analyst,Data Analytics,30 Dec 2024,29 Jan 2025,['Bachelor/Honors'],"['BPMN', 'BRS', 'Business Analyst', 'EATBS Modeling', 'Software', 'UML', 'Wireframe']"
119,Call Center Executive - Night Shift,IT & Networking,30 Dec 2024,29 Jan 2025,['Higher Secondary'],"['International Call Center', 'ITES or BPO industry']"
120,IT Executive,IT & Networking,30 Dec 2024,28 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering']","['Maintenance and Troubleshooting', 'Software Development']"
121,Embedded Systems Engineer,Software Development,30 Dec 2024,29 Jan 2025,['Bachelor of Science (BSc)'],"['ESP 32 Microcontrollar', 'Firmware', 'Hardware', 'IoT device', 'Microcontroller', 'WiFi', 'zigbee']"
122,Programmer,Software Development,30 Dec 2024,29 Jan 2025,"['Bachelor of Science (BSc), Bachelor in Engineering (BEngg), Diploma in Computer']","['Android Studio', 'Artificial Inteligence', 'C#', 'Java or Python Programming Language', 'MS SQL Server', 'MySQL', 'Oracle Database', 'VB.Net', 'Visual Studio 2022']"
123,Fast React Administrator,Project Management & Administration,31 Dec 2024,30 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor’s degree in Computer Science & Engineering, Information Systems, or a related field.']","['End User Support', 'Information teachnology', 'IT Support', 'IT System Management', 'Maintenance Data Analysis and Reporting', 'Software Traning', 'System Integration']"
124,.NET Developers,Software Development,31 Dec 2024,15 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['.Net', 'Blazor', 'C#', 'MVC', 'MVVM', 'Software Development', 'SQL', 'SQL Server', 'Web Application Development', 'Web Developer/ Web Designer']"
125,IT Officer,IT & Networking,2 Jan 2025,31 Jan 2025,"['Bachelor of Science (BSc) in Computer Science, Bachelor in Engineering (BEngg) in Computer Science & Engineering']",[]
126,Business Development Intern,Digital Marketing,31 Dec 2024,14 Jan 2025,"['Bachelor of Business Administration (BBA) in Marketing, Bachelor of Science (BSc) in Computer Science & Engineering']","['Analytical Skill', 'Attention to details', 'Canva Pro', 'Creative Thinking', 'Digital Marketing (Social Media Marketing)', 'Documentation', 'English Communicatin Skill', 'IT & Software Marketing', 'Presentation skill', 'Software development life cycle (SDLC)']"
127,Embedded Systems Engineer,Software Development,2 Jan 2025,31 Jan 2025,"['Bachelor/Honors, Masters']","['Embedded System', 'Embedded Systems']"
128,IT Support Executive,IT & Networking,31 Dec 2024,17 Jan 2025,['Bachelor/Honors'],"['CCNA (Cisco Certified Network Associate)', 'CCTV', 'CCTV Maintaining', 'Computer Hardware and Networking', 'IT Support', 'Microtik']"
129,Flutter/Dart Programmer - Web Application and Cross-Platform Development Specialist,Software Development,31 Dec 2024,14 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Bachelor’s degree in Computer Science, Software Engineering, or a related field.', 'Candidates without Flutter experience need not apply.']","['C#', 'Flutter', 'REST APIs']"
130,"Assistant System Engineer, Server & Virtualization",IT & Networking,31 Dec 2024,30 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Attention to details', 'Problem Solving Ability', 'Quick Learning Ability', 'Strong communication skills']"
131,Full Stack Developer (Frontend / Backend ),Software Development,31 Dec 2024,30 Jan 2025,['Bachelor/Honors'],"['APIs', 'AWS Cloud', 'Backend Development', 'docker', 'Frontend developer', 'Google Cloud Platform', 'JIRA', 'MS SQL Databases', 'Version Control: Github']"
132,SEO Expert,Digital Marketing,31 Dec 2024,15 Jan 2025,['Diploma in Computer'],"['Search Engine Optimization (SEO)', 'SEO Expert']"
133,Web Design- Intern,Design,1 Jan 2025,15 Jan 2025,['Diploma in Computer'],"['HTML & CSS', 'Web Design']"
134,Sr. Engineer/ Engineer- Operations under IP Network,IT & Networking,2 Jan 2025,31 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Science (BSc) in Electronics and Telecommunication Engineering, Bachelor of Science (BSc) in Communication Engineering']",[]
135,SQL Database Administrator,IT & Networking,1 Jan 2025,31 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['IT Enabled Service', 'Software Company', 'Startup']"
136,Programmer,Software Development,1 Jan 2025,14 Jan 2025,[],[]
137,Manager - Sales,Digital Marketing,1 Jan 2025,20 Jan 2025,['Bachelor/Honors'],"['Good communication skills', 'Verbal and written communication skills']"
138,Senior Software Engineer (Deputy Director),Software Development,1 Jan 2025,31 Jan 2025,['Bachelor of Science (BSc)'],[]
139,Software Developer,Software Development,2 Jan 2025,16 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Software Development', 'Software programming']"
140,Sourcing Expert,Digital Marketing,4 Jan 2025,14 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Advance skill in Excel and Microsoft Office', 'COMPUTER OFFICE MANAGEMENT', 'Corporate Sales (B2B Business)', 'Customer and Supplier Handling', 'EGP Tendering Expert', 'Government Procurement', 'Knowledge on Trading Business', 'Supply Chain and Procurement', 'Tender bidding', 'tender documentation']"
141,Frontend Developer Intern,Web Development,2 Jan 2025,1 Feb 2025,[],[]
142,Sr. Support Engineer (NOC),Testing & Support,2 Jan 2025,1 Feb 2025,"['Bachelor of Science (BSc) in CSE, Diploma in Computer in Science', 'Training/Trade Course: CCNA,MTCNA,Networking']",['ISP']
143,.Net Core Developer (Senior and Junior Developer),Software Development,3 Jan 2025,1 Feb 2025,['Bachelor of Science (BSc) in Computer Science and Engineering'],"['.Net Core', '.Net Framework', 'ASP.NET Core MVC', 'Complex query', 'Entity Framework Core', 'JavaScript', 'Language Integrated Query (LINQ)', 'MS SQL Server', 'UML', 'Web Api']"
144,Software Engineer (Backend),Software Development,2 Jan 2025,31 Jan 2025,['Bachelor of Science (BSc)'],"['.Net Core', 'ASP.NET Core', 'MongoDB', 'MS SQL Server', 'MSSQL', 'MVC', 'Web Api', 'Web Services']"
145,iOS (APP) Developer,Android Development,2 Jan 2025,31 Jan 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],"['API Testing', 'Application Security', 'iOS Application Development', 'Software Architect', 'Software Development', 'Swift (iOS)']"
146,DevOps Engineer,Software Development,2 Jan 2025,31 Jan 2025,"['Bachelor in Engineering (BEngg), Bachelor/Honors']","['AWS', 'Azure', 'Bash', 'DigitalOcean', 'GCP', 'GitLab', 'Jenkins', 'Python']"
147,Senior PHP Developer,Software Development,3 Jan 2025,22 Jan 2025,"['Bachelor/Honors, Bachelor of Science (BSc) in Computer Science & Engineering, Diploma']","['API Implementation', 'Database', 'Good communication skills', 'google api', 'MySQL and MVC framework', 'PHP (OOP)', 'PHP MySql', 'Problem solving and decision making']"
148,Chief Executive Officer,IT & Networking,2 Jan 2025,18 Jan 2025,"[""A Bachelor's degree in Engineering or Economics and a Master's degree in Business Administration""]",[]
149,Senior Executive (NOC),IT & Networking,2 Jan 2025,1 Feb 2025,[],[]
150,Web Developer,Web Development,2 Jan 2025,16 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Backend Development', 'Business/ Product Development', 'Database management', 'Dot Net Core', 'Front End Web Developer', 'Full Stack Development', 'MySQL and MVC framework', 'React | NodeJS | mongoDB | mongoose | JavaScript | Github | Git', 'Web Developer/ Web Designer']"
151,It & Digital Marketing Manager,Digital Marketing,2 Jan 2025,1 Feb 2025,['Bachelor in Engineering (BEngg)'],[]
152,Asst. Manager- Sales & Marketing,Digital Marketing,6 Jan 2025,1 Feb 2025,"['Bachelor of Science (BSc), Bachelor of Business Administration (BBA)']","['Accounting and Finance', 'Communication in English', 'IT Training', 'Leadership and teamwork', 'Training Facilitation']"
153,Executive/ Sr. Executive- IT & Management Coordination,IT & Networking,2 Jan 2025,15 Jan 2025,"['Bachelor of Science (BSc) in Computer Engineering, Bachelor/Honors']","['Data Management and Analysis', 'Excellent interpersonal and communication skills', 'Hardware & Networking', 'IT Security', 'Secretarial tasks']"
154,Mid level App Developer ( Android & iOS),Android Development,2 Jan 2025,15 Jan 2025,['Bachelor of Science (BSc)'],[]
155,Sr. UI/ UX Designer,Design,4 Jan 2025,2 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['Excellent interpersonal and communication skills', 'Leadership and teamwork', 'Problem solving and decision making', 'Research Design/ Analysis', 'UI and UX Design', 'UI/UX strategies']"
156,Unity Game Developer/ Programmer,Software Development,4 Jan 2025,2 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['2D 3D Animation', 'Console Applic', 'Game Design', 'Game Development', 'Scripting and Automation', 'Strong 3D math skills', 'UI UX Design', 'Unity 2D', 'Unity 3D', 'Unity Game Engine in VS.NET or VSCode (C.NET).']"
157,Marketing and Lead Generation Specialist,Digital Marketing,3 Jan 2025,31 Jan 2025,"['Bachelor/Honors', ""Bachelor's degree in any discipline is required"", 'Candidates with a Bachelor of Business Administration (BBA), particularly those majoring in Marketing, will be given preferential consideration.']","['Data Entry Operator (Both English & Bengali)', 'Digital content', 'Digital Marketing', 'IT & Software Marketing', 'Marketing']"
158,Wordpress Developer - Expert,Web Development,6 Jan 2025,15 Jan 2025,['Bachelor of Computer Application (BCA)'],['Advanced Wordpress Development']
159,Web Developer,Web Development,6 Jan 2025,13 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['HTML & CSS', 'JavaScript', 'jQuery', 'MySQL', 'PHP', 'ReactJS', 'REST API', 'woocommerce plugin', 'WordPress']"
160,Technical Support Executive,Testing & Support,4 Jan 2025,31 Jan 2025,['Bachelor of Science (BSc)'],['IT Support Service']
161,Deputy Manager (IT) - Head Office,IT & Networking,4 Jan 2025,15 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['Information technology', 'IT Support Service']"
162,Managment Trainee Officer-MIS,IT & Networking,4 Jan 2025,31 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['ASP.NET Core', 'C#', 'HRIS/ HR Database Management', 'JavaScript', 'MySQL', 'Oracle', 'Oracle APEX', 'ORACLE EBS', 'POS Software', 'RESTful API']"
163,Network Engineer,IT & Networking,4 Jan 2025,31 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Hardware', 'IT network', 'Networking']"
164,Experienced Full-Stack / Back-End Software Programmer,Software Development,4 Jan 2025,15 Feb 2025,['Bachelor of Science (BSc)'],"['element ui', 'Jasper Report', 'Java', 'OOP', 'PostgreSQL', 'REST API', 'RESTful API', 'VueJS']"
165,Software Developer,Software Development,4 Jan 2025,3 Feb 2025,"['Bachelor of Science (BSc) in Computer Science', 'Bachelor’s degree in computer science, Software Engineering, or related fields.']","['Software', 'Software Development']"
166,Front-End Developer,Web Development,4 Jan 2025,3 Feb 2025,"['Bachelor/Honors', 'Web Design, Web Development', 'BRAC University,North South University,United International University,University of Dhaka,Jahangirnagar University students will get preference']","['AngularJS', 'HTML5 & CSS3', 'JS JQuery AJAX', 'React Native | NodeJS | HTML | CSS | JavaScript | Github | Git', 'Strong HTML CSS skills and strong skill about PHD to HTML', 'Web Developer/ Web Designer']"
167,Motion Graphics & Video Editor,Design,4 Jan 2025,3 Feb 2025,"['Bachelor/Honors', 'Motion Design, Video Editing']","['3D Animation', 'Adobe After Effects', 'Adobe Premiere Pro', 'Blender', 'DaVinci Resolve', 'Filmora', 'Motion Design', 'Video Editing.']"
168,Tender Specialist & Bidder (IT Sector),IT & Networking,6 Jan 2025,15 Jan 2025,"['Diploma in Computer in Computer Science & Engineering, Diploma in Computer in Computer Science, Bachelor of Science (BSc) in Computer Science & Engineering, Diploma in Computer in Computer Applications']","['Communication in English', 'Good communication skills', 'Good typing speed', 'Proficient in MS Office Applications', 'Typing Skill on both Bangla English']"
169,Administrative Support and Social Content Creator,IT & Networking,5 Jan 2025,19 Jan 2025,"['HSC, Bachelor of Science (BSc), Bachelor of Business Administration (BBA), Bachelor of Arts (BA)']","['Creative content writing', 'Customer Support/ Client Service', 'Digital Marketing', 'Digital Marketing (Social Media Marketing)', 'Graphics Design', 'IT Support Service', 'Social Media Marketing (SMM)']"
170,Executive- Internet & Infrastructure,IT & Networking,5 Jan 2025,20 Jan 2025,"['Bachelor of Science (BSc) in CSE, EEE']","['Computer skill', 'Networking']"
171,Assistant Programmer,Software Development,6 Jan 2025,20 Jan 2025,"['Bachelor/Honors', 'Minimum BSc in CSE/CS/IT/ICT.']",[]
172,PHP Developer,Software Development,5 Jan 2025,15 Jan 2025,['Bachelor/Honors'],"['Ajax', 'Asynchronous Programming', 'CodeIgniter', 'Database design', 'Java script and Jquery', 'Laravel Framework', 'MySQL database', 'PHP (OOP)', 'RESTful API']"
173,Assistant IT Officer (Hardware),IT & Networking,6 Jan 2025,20 Jan 2025,['Bachelor/Honors'],[]
174,IT Technician,IT & Networking,6 Jan 2025,20 Jan 2025,"['Diploma', 'Minimum Diploma in CSE/CS/IT/ICT/EEE/ETE.']",[]
175,"Asst. Manager/Sr. Executive, MIS",IT & Networking,5 Jan 2025,17 Jan 2025,"['Bachelor of Business Administration (BBA), Master of Business Administration (MBA)', 'BBA & MBA in MIS or relevant field']","['G suite', 'MS Office', 'Ms Office Suite', 'SQL']"
176,Programmer,Software Development,5 Jan 2025,20 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Computer Science or a related subject.', 'Educational Qualification may be relaxed for experienced and highly skilled candidates.']",[]
177,Data Analyst,Data Analytics,5 Jan 2025,4 Feb 2025,['Bachelor of Science (BSc)'],"['Digital platform', 'Power BI', 'Python', 'SQL', 'Tableau']"
178,IT Officer,IT & Networking,5 Jan 2025,30 Jan 2025,['Master of Science (MSc) in Computer Science & Engineering'],[]
179,Software Engineer,Software Development,5 Jan 2025,4 Feb 2025,['Should have BSc./MSc on Software Engineer from any recognized university.'],[]
180,Network Engineer/ Sr. Network Engineer- Technical Support,IT & Networking,5 Jan 2025,20 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc)']","['GRE', 'IPSec VPN', 'ISP operations', 'Network Engineering', 'NOC', 'VPN']"
181,Sales Executive,Digital Marketing,5 Jan 2025,4 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Business Administration (BBA) in Marketing']","['Adaptability and Resilience', 'Business Development', 'Customer Relationship Management', 'Excellent writing and presentation skills.', 'Good interpersonal and communication skills', 'Market Research and analysis', 'MS Office', 'Negotiation Skills', 'Sales & Marketing', 'Sales strategy development']"
182,Network Engineer - Technical Support,IT & Networking,5 Jan 2025,20 Jan 2025,['Bachelor of Science (BSc)'],[]
183,SEO and Digital Marketing Expert,Digital Marketing,5 Jan 2025,15 Jan 2025,['Bachelor/Honors'],"['Complete website audit', 'Off Page SEO', 'On page SEO', 'SEO and Digital Marketer', 'SEO and Google ads', 'Technical SEO', 'Website Content Creation']"
184,Intern - Asp Net,Software Development,5 Jan 2025,20 Jan 2025,['Bachelor/Honors'],"['ASP.NET Core', 'C#']"
185,Data Entry & Payroll IT Executive,IT & Networking,5 Jan 2025,4 Feb 2025,['Bachelor of Science (BSc)'],[]
186,Web & App Operations Specialist,Web Development,6 Jan 2025,4 Feb 2025,['Bachelor of Science (BSc)'],"['DevOps', 'HTML', 'MS office', 'QA Testing']"
187,Intern Software Engineer,Software Development,6 Jan 2025,31 Jan 2025,"['Diploma in Computer in Computer Engineering, Bachelor of Science (BSc) in Computer Science & Engineering']","['algorithom', 'Figma', 'JavaScript', 'NextJs', 'OOP', 'ReactJS', 'Tailwind CSS']"
188,Software Engineer,Software Development,6 Jan 2025,15 Jan 2025,[],"['PHP MySql', 'ReactJS', 'VueJS']"
189,PHP Laravel Developer - Intern,Software Development,7 Jan 2025,21 Jan 2025,"['Bachelor of Science (BSc) in Computer Engineering, Diploma in Engineering in Computer Engineering', 'Training/Trade Course: Website Designe,Website Devlopemnt']","['PHP (OOP)', 'PHP Laravel']"
190,WordPress Developer,Web Development,6 Jan 2025,5 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Diploma in Computer', 'An equivalent combination of education, training, and experience may be accepted']","['Git and Github', 'HTML & CSS', 'JavaScript', 'PHP Programming', 'Woocommerce Customization', 'WordPress', 'WordPress Developer', 'Wordpress SEO', 'Wordpress Theme and Plugin Development']"
191,Digital Marketing Cum Social Media Manager,Digital Marketing,6 Jan 2025,31 Jan 2025,['HSC'],"['Digital Marketing (Social Media Marketing)', 'Google Adwords', 'Linkedin marketing', 'Search Engine Optimization (SEO)', 'YouTube Marketing']"
192,Director,IT & Networking,6 Jan 2025,20 Jan 2025,"['Graduate or Post Graduate degree in Computer Science, Industrial Engineering, Information Technology or Business Studies.']",[]
193,NOC Assistant Engineer,IT & Networking,6 Jan 2025,5 Feb 2025,"['Bachelor/Honors', 'B.SC in ETE / IT / CSE / ECE (Telecommunication Preferred)']",[]
194,MIS Officer,IT & Networking,6 Jan 2025,5 Feb 2025,['Bachelor of Business Administration (BBA) in MIS'],"['MIS Report', 'MS Word/ Excel/ PowerPoint/ OneNote']"
195,"Software Developer - (ERPNext, Python & JavaScript)",Software Development,6 Jan 2025,5 Feb 2025,['Bachelor of Science (BSc)'],"['AWS', 'ERPNEXT', 'Git and Github', 'JavaScript', 'Linux', 'Python', 'SQL']"
196,IT Associate,IT & Networking,6 Jan 2025,5 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electronics and Telecommunication Engineering, Diploma in Engineering in Telecommunication']","['CCNA (Cisco Certified Network Associate)', 'Computer Hardware and Networking', 'Computer Troubleshooting', 'Good communication skills.', 'Hard Working', 'Internet Service Provider', 'IT Support Service', 'MS Office suites']"
197,"Assistant Manager, Enterprise Web Application (Aarong Dairy)",Project Management & Administration,6 Jan 2025,20 Jan 2025,[],[]
198,Senior Frontend software Developers,Software Development,6 Jan 2025,20 Jan 2025,['BSc in CSE from any reputed university'],[]
199,Backend Developers (Microservices),Software Development,6 Jan 2025,20 Jan 2025,['BSc in CSE from any reputed university'],[]
200,Lead Backend Engineer - .NET Core and CQRS Architect,Software Development,7 Jan 2025,20 Jan 2025,"['Bachelor/Honors', 'Bachelor’s degree in Computer Science, Software Engineering, or a related field.']",['Programming']
201,Tech Lead,IT & Networking,7 Jan 2025,31 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['Java', 'Laravel', 'PHP', 'SQA']"
202,Management Trainee - Information Technology,IT & Networking,7 Jan 2025,6 Feb 2025,['B.Sc in CSE/ICE/ETE'],"['Positive attitude towards challenges', 'Team Work Capability']"
203,Senior iOS Engineer,Android Development,7 Jan 2025,6 Feb 2025,['Bachelor of Science (BSc) in Computer Science'],"['iOS', 'iOS App Developer', 'iOS Application Development', 'iOS Development', 'Mobile apps Developer (iOS)', 'Native IOS', 'Swift (iOS)', 'Swift UI']"
204,Frontend/ Sr. Frontend Engineer (Vue.js / Nuxt.js),Web Development,7 Jan 2025,19 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['JavaScript', 'Nuxt.js', 'Nuxtjs', 'Vue', 'Vue JS', 'Vue.js', 'VueJS']"
205,Sr. Officer/Assistant Manager (Oracle DBA & Apex Developer),IT & Networking,7 Jan 2025,25 Jan 2025,['Bachelor of Science (BSc) in Computer Engineering'],"['Oracle 10G11G', 'Oracle APEX', 'Oracle SQL and PLSQL']"
206,Junior Software Developer,Software Development,7 Jan 2025,18 Jan 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Angular', 'API Implementation', 'ASP.NET Core', 'MSSQL']"
207,Sr. Officer/Assistant Manager (Full Stack Developer),Software Development,7 Jan 2025,20 Jan 2025,['Bachelor of Science (BSc) in Computer Science'],"['Laravel', 'react js', 'React Native']"
208,Senior Full Stack .NET Developer,Software Development,7 Jan 2025,8 Feb 2025,[],[]
209,Senior Full Stack Java Developer,Software Development,7 Jan 2025,8 Feb 2025,[],[]
210,Senior Fullstack NodeJS Developer,Software Development,7 Jan 2025,8 Feb 2025,[],[]
211,Senior Data Science Engineer,Data Analytics,7 Jan 2025,8 Feb 2025,[],[]
212,Senior DevOps Engineer,Software Development,7 Jan 2025,8 Feb 2025,[],[]
213,Senior Hybrid Mobile Application Developer,Android Development,7 Jan 2025,8 Feb 2025,[],[]
214,Senior Engineer/ Engineer,Software Development,7 Jan 2025,31 Jan 2025,"['Bachelor of Science (BSc) in Electrical & Electronic Engineering, Bachelor of Science (BSc) in Computer Science & Engineering, Bachelor of Science (BSc) in Electronics and Telecommunication Engineering, Diploma in Computer in Computer Science, Diploma in Engineering in Electronics']",[]
215,Freelancer Bidder,Digital Marketing,8 Jan 2025,6 Feb 2025,[],[]
216,Trainee Officer/ Officer - IT,IT & Networking,7 Jan 2025,6 Feb 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],"['Good communication skills', 'Lectra Software', 'Network Monitoring', 'Operating Systems', 'Trouble Shooting']"
217,Customer Support Specialist-RCM,Testing & Support,7 Jan 2025,15 Jan 2025,"['Bachelor/Honors, Masters', 'Master’s or Bachelor’s degree in any discipline from a reputed university is preferred.']","['Customer Support/ Client Service', 'English Communicatin Skill', 'Google workspace', 'MS Word/ Excel/ PowerPoint/ OneNote', 'Tech Support']"
218,Senior Executive/Assistant Manager - Product Management (TP-Link SMB),Project Management & Administration,8 Jan 2025,31 Jan 2025,"['BSc. in CSE/ETE/EEE', 'BBA/MBA in any discipline can also apply.', 'Any professional certificate related to networking product get advantage.']","['Analytical Skill', 'Customer Relationship Management', 'Good communication skills', 'IT product Knowledge', 'Leadership and teamwork', 'Networking Product', 'Problem Solving Skills', 'Product Pricing', 'Target Oriented']"
219,Head of IT/DGM-IT,IT & Networking,8 Jan 2025,16 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'Professional Degree in IT']","['IT Support', 'IT Support Service']"
220,Software Engineer (.Net Developer),Software Development,8 Jan 2025,18 Jan 2025,"['Bachelor of Science (BSc), Master of Science (MSc)']","['JavaScript', 'JS JQuery AJAX', 'Language Integrated Query (LINQ)']"
221,Executive / Sr. Executive - Application Development,Software Development,9 Jan 2025,15 Jan 2025,[],[]
222,Front End Engineer,Web Development,8 Jan 2025,22 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'BSc in CSE from any reputed university']",[]
223,Back End Engineer,Software Development,8 Jan 2025,22 Jan 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering', 'BSc in CSE from any reputed university']",[]
224,"Assistant Manager, IT",IT & Networking,8 Jan 2025,2 Feb 2025,"['Bachelor of Science (BSc) in Computer Science & Engineering, Master of Science (MSc) in Computer Science & Engineering']","['Computer Science/ Engineering', 'IT Support Service']"
225,Database Administrator,IT & Networking,8 Jan 2025,30 Jan 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],[]
226,Software Programmer for ERP,Software Development,8 Jan 2025,5 Feb 2025,['Bachelor in Engineering (BEngg) in Computer Science & Engineering'],[]
227,Junior Cloud Engineer,IT & Networking,8 Jan 2025,17 Jan 2025,"['Diploma in Engineering, Bachelor in Engineering (BEngg)', 'BSc in CSE/CSC/EEE']",[]
228,Full-Stack Engineer (MERN Stack),Software Development,8 Jan 2025,18 Jan 2025,"['Bachelor in Engineering (BEngg) in Computer Science & Engineering', 'Bachelor’s Degree in Computer Science, Engineering, or a related field, or equivalent practical experience.']","['Software Architect', 'Software Development', 'Software Engineering']"
229,Jr. SOC Analyst - Tier 1,Data Analytics,8 Jan 2025,17 Jan 2025,"['Diploma in Engineering, Bachelor of Science (BSc)', ""Bachelor's degree in CSE or a related field""]",[]
230,Software QA (Tester),Testing & Support,9 Jan 2025,8 Feb 2025,['Bachelor of Science (BSc) in Computer Science & Engineering'],[]
231,"Sr. Engineer / Lead Engineer, iOS",Android Development,8 Jan 2025,26 Jan 2025,[],"['iOS app design', 'iOS App Developer', 'Mobile App Development']"
232,Admin Office Assitant,IT & Networking,9 Jan 2025,7 Feb 2025,['Bachelor/Honors'],"['Computer skill', 'Consultancy', 'IT Support Service']"
233,Senior Digital Marketer,Digital Marketing,9 Jan 2025,31 Jan 2025,"['Bachelor/Honors', ""Bachelor's degree in Business Administration, or related field.""]","['Digital Marketing (Social Media Marketing)', 'Email Marketing', 'SCM', 'SEO and Digital Marketer']"
